time, mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened,location_name,location_coordinates
2019-02-01,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-02,1.43632176e+15,MADRID,5W_39N_2W_41N
2019-02-03,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-04,2.60834599e+15,MADRID,5W_39N_2W_41N
2019-02-05,2.95984343e+15,MADRID,5W_39N_2W_41N
2019-02-06,3.29967251e+15,MADRID,5W_39N_2W_41N
2019-02-07,2.61843406e+15,MADRID,5W_39N_2W_41N
2019-02-08,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-09,1.98133176e+15,MADRID,5W_39N_2W_41N
2019-02-10,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-11,1.71414614e+15,MADRID,5W_39N_2W_41N
2019-02-12,2.25489944e+15,MADRID,5W_39N_2W_41N
2019-02-13,1.68093356e+15,MADRID,5W_39N_2W_41N
2019-02-14,1.57085087e+15,MADRID,5W_39N_2W_41N
2019-02-15,7.41471578e+13,MADRID,5W_39N_2W_41N
2019-02-16,1.531453e+15,MADRID,5W_39N_2W_41N
2019-02-17,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-18,1.62412712e+15,MADRID,5W_39N_2W_41N
2019-02-19,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-20,3.27575142e+15,MADRID,5W_39N_2W_41N
2019-02-21,2.90367196e+15,MADRID,5W_39N_2W_41N
2019-02-22,1.96798945e+15,MADRID,5W_39N_2W_41N
2019-02-23,2.88431294e+15,MADRID,5W_39N_2W_41N
2019-02-24,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-25,3.09096099e+15,MADRID,5W_39N_2W_41N
2019-02-26,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-27,2.01082155e+15,MADRID,5W_39N_2W_41N
2019-02-28,6.17237669e+14,MADRID,5W_39N_2W_41N
2019-03-01,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-02,1.59388585e+15,MADRID,5W_39N_2W_41N
2019-03-03,1.22047187e+15,MADRID,5W_39N_2W_41N
2019-03-04,1.64512911e+15,MADRID,5W_39N_2W_41N
2019-03-05,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-06,5.1933144e+14,MADRID,5W_39N_2W_41N
2019-03-07,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-08,2.74647831e+15,MADRID,5W_39N_2W_41N
2019-03-09,2.16144337e+15,MADRID,5W_39N_2W_41N
2019-03-10,1.57871146e+15,MADRID,5W_39N_2W_41N
2019-03-11,1.6841062e+15,MADRID,5W_39N_2W_41N
2019-03-12,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-13,2.02241205e+15,MADRID,5W_39N_2W_41N
2019-03-14,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-15,2.95520647e+15,MADRID,5W_39N_2W_41N
2019-03-16,2.92867478e+14,MADRID,5W_39N_2W_41N
2019-03-17,1.69367083e+15,MADRID,5W_39N_2W_41N
2019-03-18,1.03312439e+15,MADRID,5W_39N_2W_41N
2019-03-19,1.75839008e+15,MADRID,5W_39N_2W_41N
2019-03-20,1.68422391e+15,MADRID,5W_39N_2W_41N
2019-03-21,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-22,2.71850411e+15,MADRID,5W_39N_2W_41N
2019-03-23,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-24,1.90675154e+15,MADRID,5W_39N_2W_41N
2019-03-25,2.67404261e+15,MADRID,5W_39N_2W_41N
2019-03-26,2.66597344e+15,MADRID,5W_39N_2W_41N
2019-03-27,1.99627288e+15,MADRID,5W_39N_2W_41N
2019-03-28,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-29,1.9731524e+15,MADRID,5W_39N_2W_41N
2019-03-30,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-31,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-01,-1.50938358e+15,MADRID,5W_39N_2W_41N
2019-04-02,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-03,1.974153e+15,MADRID,5W_39N_2W_41N
2019-04-04,1.71141871e+15,MADRID,5W_39N_2W_41N
2019-04-05,1.34952409e+15,MADRID,5W_39N_2W_41N
2019-04-06,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-07,2.3087637e+15,MADRID,5W_39N_2W_41N
2019-04-08,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-09,3.60370674e+14,MADRID,5W_39N_2W_41N
2019-04-10,1.74314898e+15,MADRID,5W_39N_2W_41N
2019-04-11,2.78999143e+15,MADRID,5W_39N_2W_41N
2019-04-12,3.18363699e+15,MADRID,5W_39N_2W_41N
2019-04-13,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-14,1.20506756e+15,MADRID,5W_39N_2W_41N
2019-04-15,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-16,2.18062536e+15,MADRID,5W_39N_2W_41N
2019-04-17,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-18,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-19,-1.267651e+30,MADRID,5W_39N_2W_41N
